conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,casefolding,cleanedtext,stopwordremoved,stemmingtext,tokenize
1753186827987816477,Thu Feb 01 22:41:27 +0000 2024,1120,Walaupun Hamilton dan Ferrari sudah kontakan jauh-jauh hari membahas kontrak kepindahannya ternyata Toto Wolff baru mengetahui hal tersebut kemarin dari Lewis Hamilton sendiri. WOWKWOWKOWKWK AZAB JADI SALAH SATU PROVOKATOR BUAT MENOLAK ANDRETTI https://t.co/UesbnhstsN,1753186827987816477,https://pbs.twimg.com/media/GFSSIPjaAAAvm8_.jpg,,in,Pernah di paddock,36,40,169,https://x.com/LambeResing/status/1753186827987816477,1268958732794261505,LambeResing,walaupun hamilton dan ferrari sudah kontakan jauh-jauh hari membahas kontrak kepindahannya ternyata toto wolff baru mengetahui hal tersebut kemarin dari lewis hamilton sendiri. wowkwowkowkwk azab jadi salah satu provokator buat menolak andretti https://t.co/uesbnhstsn,walaupun hamilton dan ferrari sudah kontakan jauh jauh hari membahas kontrak kepindahannya ternyata toto wolff baru mengetahui hal tersebut kemarin dari lewis hamilton sendiri  wowkwowkowkwk azab jadi salah satu provokator buat menolak andretti,hamilton ferrari kontakan membahas kontrak kepindahannya toto wolff kemarin lewis hamilton wowkwowkowkwk azab salah provokator menolak andretti,hamilton ferrari kontak bahas kontrak pindah toto wolff kemarin lewis hamilton wowkwowkowkwk azab salah provokator tolak andretti,"['hamilton', 'ferrari', 'kontak', 'bahas', 'kontrak', 'pindah', 'toto', 'wolff', 'kemarin', 'lewis', 'hamilton', 'wowkwowkowkwk', 'azab', 'salah', 'provokator', 'tolak', 'andretti']"
1753159474376818953,Thu Feb 01 20:52:45 +0000 2024,15,Lewis Hamilton kaona isiwe tabu. Anajiunga na Ferrari #FormulaOne #Formula1 https://t.co/MtfU5VPLKe,1753159474376818953,https://pbs.twimg.com/media/GFR5QCSXAAAMupf.jpg,,in,"North Tonawanda, NY",0,2,0,https://x.com/msangijeff/status/1753159474376818953,20542290,msangijeff,lewis hamilton kaona isiwe tabu. anajiunga na ferrari #formulaone #formula1 https://t.co/mtfu5vplke,lewis hamilton kaona isiwe tabu  anajiunga na ferrari  formulaone  formula,lewis hamilton kaona isiwe tabu anajiunga na ferrari formulaone formula,lewis hamilton kaona isiwe tabu anajiunga na ferrari formulaone formula,"['lewis', 'hamilton', 'kaona', 'isiwe', 'tabu', 'anajiunga', 'na', 'ferrari', 'formulaone', 'formula']"
1753139655308882162,Thu Feb 01 19:34:00 +0000 2024,18,Gostaram de Lewis Hamilton na Ferrari? https://t.co/xtfpGyyv4z,1753139655308882162,https://pbs.twimg.com/media/GFRixSbW4AEycYO.jpg,,in,,0,4,0,https://x.com/BetPix365of/status/1753139655308882162,1698805624388169731,BetPix365of,gostaram de lewis hamilton na ferrari? https://t.co/xtfpgyyv4z,gostaram de lewis hamilton na ferrari,gostaram de lewis hamilton na ferrari,gostaram de lewis hamilton na ferrari,"['gostaram', 'de', 'lewis', 'hamilton', 'na', 'ferrari']"
1753209912656802080,Fri Feb 02 00:13:10 +0000 2024,2154, RESMI: Lewis Hamilton akan bergabung bersama Ferrari per tahun 2025 menandatangani kontrak beberapa tahun. Hamilton mengakhiri 12 tahun karirnya bersama Mercedes pada tahun ini. #TransferExtraTime https://t.co/Bs4DSvkTv0,1753209912656802080,https://pbs.twimg.com/media/GFSnHwqawAAv-Bm.jpg,,in,,65,114,156,https://x.com/idextratime/status/1753209912656802080,1222927522033094656,idextratime, resmi: lewis hamilton akan bergabung bersama ferrari per tahun 2025 menandatangani kontrak beberapa tahun. hamilton mengakhiri 12 tahun karirnya bersama mercedes pada tahun ini. #transferextratime https://t.co/bs4dsvktv0,resmi  lewis hamilton akan bergabung bersama ferrari per tahun  menandatangani kontrak beberapa tahun  hamilton mengakhiri  tahun karirnya bersama mercedes pada tahun ini   transferextratime,resmi lewis hamilton bergabung ferrari menandatangani kontrak hamilton karirnya mercedes transferextratime,resmi lewis hamilton gabung ferrari menandatangani kontrak hamilton karirnya mercedes transferextratime,"['resmi', 'lewis', 'hamilton', 'gabung', 'ferrari', 'menandatangani', 'kontrak', 'hamilton', 'karirnya', 'mercedes', 'transferextratime']"
1753321354856919270,Fri Feb 02 07:36:00 +0000 2024,840,Satu pertanyaan besar mengenai hebohnya mega-transfer Lewis Hamilton ke Ferrari: apa yang terjadi dengan hubungan Hamilton bersama Mercedes? Padahal baru sekitar lima bulan dia memperpanjang kontraknya di sana dan secepat itu Hamilton mengaktifkan klausul exit bahkan sebelum https://t.co/Y49fsifheZ,1753321354856919270,https://pbs.twimg.com/media/GFUHPl_bsAAbwbi.jpg,,in,Indonesia,13,23,107,https://x.com/f1speed_indo/status/1753321354856919270,1019746932833468416,f1speed_indo,satu pertanyaan besar mengenai hebohnya mega-transfer lewis hamilton ke ferrari: apa yang terjadi dengan hubungan hamilton bersama mercedes? padahal baru sekitar lima bulan dia memperpanjang kontraknya di sana dan secepat itu hamilton mengaktifkan klausul exit bahkan sebelum https://t.co/y49fsifhez,satu pertanyaan besar mengenai hebohnya mega transfer lewis hamilton ke ferrari  apa yang terjadi dengan hubungan hamilton bersama mercedes  padahal baru sekitar lima bulan dia memperpanjang kontraknya di sana dan secepat itu hamilton mengaktifkan klausul exit bahkan sebelum,hebohnya mega transfer lewis hamilton ferrari hubungan hamilton mercedes memperpanjang kontraknya secepat hamilton mengaktifkan klausul exit,heboh mega transfer lewis hamilton ferrari hubung hamilton mercedes panjang kontrak cepat hamilton aktif klausul exit,"['heboh', 'mega', 'transfer', 'lewis', 'hamilton', 'ferrari', 'hubung', 'hamilton', 'mercedes', 'panjang', 'kontrak', 'cepat', 'hamilton', 'aktif', 'klausul', 'exit']"
1753199530190016977,Thu Feb 01 23:31:55 +0000 2024,1166, Saga Mega-Transfer Lewis Hamilton ke Ferrari: â¶ï¸ Negosiasi kontrak sudah dimulai sejak 3 pekan yang lalu. Diinisiasi oleh Presiden Ferrari John Elkann yang turun langsung ke meja perundingan. â¶ï¸ Kontrak Hamilton di Mercedes hanya sampai 2024 dengan opsi perpanjang 1 tahun. https://t.co/BHC4KWtAeM,1753199530190016977,https://pbs.twimg.com/media/GFScWyzaYAA7oas.jpg,,in,Indonesia,73,66,147,https://x.com/f1speed_indo/status/1753199530190016977,1019746932833468416,f1speed_indo, saga mega-transfer lewis hamilton ke ferrari: â¶ï¸ negosiasi kontrak sudah dimulai sejak 3 pekan yang lalu. diinisiasi oleh presiden ferrari john elkann yang turun langsung ke meja perundingan. â¶ï¸ kontrak hamilton di mercedes hanya sampai 2024 dengan opsi perpanjang 1 tahun. https://t.co/bhc4kwtaem,saga mega transfer lewis hamilton ke ferrari  â¶ï¸ negosiasi kontrak sudah dimulai sejak  pekan yang lalu  diinisiasi oleh presiden ferrari john elkann yang turun langsung ke meja perundingan  â¶ï¸ kontrak hamilton di mercedes hanya sampai  dengan opsi perpanjang  tahun,saga mega transfer lewis hamilton ferrari â¶ï¸ negosiasi kontrak pekan diinisiasi presiden ferrari john elkann turun langsung meja perundingan â¶ï¸ kontrak hamilton mercedes opsi perpanjang,saga mega transfer lewis hamilton ferrari negosiasi kontrak pekan inisiasi presiden ferrari john elkann turun langsung meja runding kontrak hamilton mercedes opsi panjang,"['saga', 'mega', 'transfer', 'lewis', 'hamilton', 'ferrari', 'negosiasi', 'kontrak', 'pekan', 'inisiasi', 'presiden', 'ferrari', 'john', 'elkann', 'turun', 'langsung', 'meja', 'runding', 'kontrak', 'hamilton', 'mercedes', 'opsi', 'panjang']"
1753178313659715597,Thu Feb 01 22:07:37 +0000 2024,30, HERE WE GO LEWIS IN FERRARI! Setelah huru-hara di hari kemarin tentang naiknya rumor kepindahan Lewis Hamilton ke Ferrari kini rumor itu menjadi kenyataan. Hamilton resmi pindah ke Ferrari mulai musim 2025 mendatang dan telah menandatangani kontrak multi year. https://t.co/HdZopytMaC,1753178313659715597,https://pbs.twimg.com/media/GFSKYpjaYAAdl4n.jpg,,in,Spa Franchochamps,0,1,5,https://x.com/SembalapID/status/1753178313659715597,1494840292998287361,SembalapID, here we go lewis in ferrari! setelah huru-hara di hari kemarin tentang naiknya rumor kepindahan lewis hamilton ke ferrari kini rumor itu menjadi kenyataan. hamilton resmi pindah ke ferrari mulai musim 2025 mendatang dan telah menandatangani kontrak multi year. https://t.co/hdzopytmac,here we go lewis in ferrari  setelah huru hara di hari kemarin tentang naiknya rumor kepindahan lewis hamilton ke ferrari kini rumor itu menjadi kenyataan  hamilton resmi pindah ke ferrari mulai musim  mendatang dan telah menandatangani kontrak multi year,here we go lewis in ferrari huru hara kemarin naiknya rumor kepindahan lewis hamilton ferrari rumor kenyataan hamilton resmi pindah ferrari musim menandatangani kontrak multi year,here we go lewis in ferrari huru hara kemarin naik rumor pindah lewis hamilton ferrari rumor nyata hamilton resmi pindah ferrari musim menandatangani kontrak multi year,"['here', 'we', 'go', 'lewis', 'in', 'ferrari', 'huru', 'hara', 'kemarin', 'naik', 'rumor', 'pindah', 'lewis', 'hamilton', 'ferrari', 'rumor', 'nyata', 'hamilton', 'resmi', 'pindah', 'ferrari', 'musim', 'menandatangani', 'kontrak', 'multi', 'year']"
1753210433354281424,Fri Feb 02 00:15:15 +0000 2024,3,lewis hamilton at ferrari https://t.co/wBZAFyp67s,1753210433354281424,https://pbs.twimg.com/media/GFSnk0tXoAAc45r.jpg,,in,,0,3,0,https://x.com/blashdril/status/1753210433354281424,1512985857480970243,blashdril,lewis hamilton at ferrari https://t.co/wbzafyp67s,lewis hamilton at ferrari,lewis hamilton at ferrari,lewis hamilton at ferrari,"['lewis', 'hamilton', 'at', 'ferrari']"
1753290458938450379,Fri Feb 02 05:33:14 +0000 2024,6,Rekap huru hara gaongaoff sports - Lewis resmi ke Ferrari di 2025 - MU menang atas Wolves 4-3 - Al Nassr menang atas Inter Miami 6-0 - Shayne Pattynama ke KAS Eupen - Elkan Baggott ke Bristol Rovers - Roaster timnas Korea untuk MLB tour (against Dodgers Padres) announced https://t.co/WwIa7zDKhD,1753290458938450379,https://pbs.twimg.com/media/GFTwX77bUAAEXTn.jpg,,in,,0,5,0,https://x.com/gaongaoff/status/1753290458938450379,1366697772917792768,gaongaoff,rekap huru hara gaongaoff sports - lewis resmi ke ferrari di 2025 - mu menang atas wolves 4-3 - al nassr menang atas inter miami 6-0 - shayne pattynama ke kas eupen - elkan baggott ke bristol rovers - roaster timnas korea untuk mlb tour (against dodgers padres) announced https://t.co/wwia7zdkhd,rekap huru hara gaongaoff sports   lewis resmi ke ferrari di    mu menang atas wolves     al nassr menang atas inter miami     shayne pattynama ke kas eupen   elkan baggott ke bristol rovers   roaster timnas korea untuk mlb tour  against dodgers padres  announced,rekap huru hara gaongaoff sports lewis resmi ferrari mu menang wolves al nassr menang inter miami shayne pattynama kas eupen elkan baggott bristol rovers roaster timnas korea mlb tour against dodgers padres announced,rekap huru hara gaongaoff sports lewis resmi ferrari mu menang wolves al nassr menang inter miami shayne pattynama kas eupen elkan baggott bristol rovers roaster timnas korea mlb tour against dodgers padres announced,"['rekap', 'huru', 'hara', 'gaongaoff', 'sports', 'lewis', 'resmi', 'ferrari', 'mu', 'menang', 'wolves', 'al', 'nassr', 'menang', 'inter', 'miami', 'shayne', 'pattynama', 'kas', 'eupen', 'elkan', 'baggott', 'bristol', 'rovers', 'roaster', 'timnas', 'korea', 'mlb', 'tour', 'against', 'dodgers', 'padres', 'announced']"
1753240980965540310,Fri Feb 02 02:16:38 +0000 2024,0,Asli kah Lewis gabung Ferrari https://t.co/YiMoKr8RdW,1753240980965540310,https://pbs.twimg.com/media/GFTDYVbbkAANLHO.jpg,,in,,0,0,0,https://x.com/fzasekai/status/1753240980965540310,1712986164280668160,fzasekai,asli kah lewis gabung ferrari https://t.co/yimokr8rdw,asli kah lewis gabung ferrari,asli lewis gabung ferrari,asli lewis gabung ferrari,"['asli', 'lewis', 'gabung', 'ferrari']"
