"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;
"1775341105103675539,""Wed Apr 03 01:54:38 +0000 2024"",""0"",""Lewis Hamilton https://t.co/xLvIEc6vaa"",""1775341105103675539"","""","""",""in"",""New Brunswick, Canada"",""0"",""0"",""0"",""https://twitter.com/Luxe_JD_/status/1775341105103675539"",""1457338610823348228"",""Luxe_JD_""";;;;;;;;;;;
"1775334219356532974,""Wed Apr 03 01:27:16 +0000 2024"",""0"",""UMA CEBOLA SIR LEWIS HAMILTON UMA CEBOLA"",""1775334219356532974"","""","""",""in"",""8 makes 1 team"",""0"",""0"",""0"",""https://twitter.com/startinyx/status/1775334219356532974"",""1280921598279761925"",""startinyx""";;;;;;;;;;;
"1775332744945451419,""Wed Apr 03 01:21:25 +0000 2024"",""0"",""Lewis Hamilton."",""1775332744945451419"","""","""",""in"",""He/him, neurodivergent."",""0"",""0"",""0"",""https://twitter.com/81otoot/status/1775332744945451419"",""1427799133335719950"",""81otoot""";;;;;;;;;;;
"1775320934917841383,""Wed Apr 03 00:34:29 +0000 2024"",""0"",""lewis hamilton "",""1775320934917841383"","""","""",""in"",""📚"",""0"",""0"",""0"",""https://twitter.com/itsmandyhilton/status/1775320934917841383"",""1287850091387158530"",""itsmandyhilton""";;;;;;;;;;;
"1775280556797993448,""Tue Apr 02 22:56:25 +0000 2024"",""1"",""@TodayF1History Lewis Hamilton"",""1775296254605447324"","""",""TodayF1History"",""in"",""Syria"",""0"",""0"",""0"",""https://twitter.com/_RaceDirector/status/1775296254605447324"",""1642626220998250501"",""_RaceDirector""";;;;;;;;;;;
"1775280556797993448,""Tue Apr 02 22:11:52 +0000 2024"",""2"",""@TodayF1History Lewis Hamilton"",""1775285044895994176"","""",""TodayF1History"",""in"","""",""0"",""0"",""0"",""https://twitter.com/JooGabrielNove2/status/1775285044895994176"",""1488251273493237760"",""JooGabrielNove2""";;;;;;;;;;;
"1775283531394265284,""Tue Apr 02 22:05:51 +0000 2024"",""0"",""Somehow gue melihat Kendrick Lamar mirip ama Lewis Hamilton dah"",""1775283531394265284"","""","""",""in"","""",""0"",""1"",""0"",""https://twitter.com/itznoo__/status/1775283531394265284"",""1131212918417084416"",""itznoo__""";;;;;;;;;;;
"1775133073304142048,""Tue Apr 02 21:34:48 +0000 2024"",""0"",""@MercedesAMGF1 @LEGO_Group @LewisHamilton Namaste Lewis"",""1775275715702972828"","""",""MercedesAMGF1"",""in"",""MILKY WAY GALAXY"",""0"",""0"",""0"",""https://twitter.com/hunterx_airdrop/status/1775275715702972828"",""1327195895381757954"",""hunterx_airdrop""";;;;;;;;;;;
"1775275211467993314,""Tue Apr 02 21:33:46 +0000 2024"",""0"",""A Lewis Hamilton da Avenida Brasil."",""1775275457468100941"","""",""lzgstvo"",""in"",""Rio de Janeiro, Brasil"",""0"",""0"",""0"",""https://twitter.com/lzgstvo/status/1775275457468100941"",""154742454"",""lzgstvo""";;;;;;;;;;;
"1775261186679840879,""Tue Apr 02 20:37:04 +0000 2024"",""3"",""lewis hamilton"",""1775261186679840879"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/soblton/status/1775261186679840879"",""1649802953027379201"",""soblton""";;;;;;;;;;;
"1775260886162374837,""Tue Apr 02 20:35:52 +0000 2024"",""0"",""lewis hamilton lh44 fancam edit https://t.co/3wo3dG2Y6j"",""1775260886162374837"",""https://pbs.twimg.com/ext_tw_video_thumb/1775260818642444288/pu/img/vzGC84xQgCAzZDmd.jpg"","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/lecsebx/status/1775260886162374837"",""1749678911452069888"",""lecsebx""";;;;;;;;;;;
"1775259321439224031,""Tue Apr 02 20:29:39 +0000 2024"",""12"",""lewis hamilton #JapaneseGP | @LewisHamilton @MercedesAMGF1 https://t.co/1MF9gvqWpy"",""1775259321439224031"",""https://pbs.twimg.com/media/GKL88OgaQAAEPfO.jpg"","""",""in"",""19 • she/her • ☬"",""0"",""2"",""2"",""https://twitter.com/44F0RZA/status/1775259321439224031"",""1631886858589224960"",""44F0RZA""";;;;;;;;;;;
"1775252781185511800,""Tue Apr 02 20:03:40 +0000 2024"",""32"",""2. lewis hamilton https://t.co/HZlbBxKkrg"",""1775252781185511800"",""https://pbs.twimg.com/ext_tw_video_thumb/1617572521238315034/pu/img/7IM0qff5tHsKlB6i.jpg"","""",""in"",""Italy"",""0"",""2"",""0"",""https://twitter.com/perlenoirre/status/1775252781185511800"",""1167760928865234945"",""perlenoirre""";;;;;;;;;;;
"1775248981615853949,""Tue Apr 02 19:48:34 +0000 2024"",""0"",""LEWIS HAMILTON https://t.co/TGSCMD5jau"",""1775248981615853949"","""","""",""in"","""",""0"",""0"",""0"",""https://twitter.com/Lisa43724520/status/1775248981615853949"",""1415094758708498435"",""Lisa43724520""";;;;;;;;;;;
"1775235698762596687,""Tue Apr 02 18:55:47 +0000 2024"",""3"",""Lewis Hamilton 🇬🇧 https://t.co/6fh14cU59U"",""1775235698762596687"",""https://pbs.twimg.com/media/GKLnc3bWUAE8R2j.jpg"","""",""in"",""Around the globe"",""0"",""1"",""1"",""https://twitter.com/tivo_gram/status/1775235698762596687"",""1210300951367704578"",""tivo_gram""";;;;;;;;;;;
"1775151998649729387,""Tue Apr 02 18:19:03 +0000 2024"",""1"",""@Alexridercarsa LEWIS HAMILTON?????"",""1775226454743155096"","""",""Alexridercarsa"",""in"",""🇨🇱 Lomas Turbas "",""0"",""1"",""0"",""https://twitter.com/rosenr8t/status/1775226454743155096"",""1407740963079008265"",""rosenr8t""";;;;;;;;;;;
"1775225523821482420,""Tue Apr 02 18:15:21 +0000 2024"",""36"",""Sir Lewis Hamilton the https://t.co/IzIdoVf6R4"",""1775225523821482420"",""https://pbs.twimg.com/media/GKLeNArXsAI925s.jpg"","""",""in"","""",""1"",""10"",""8"",""https://twitter.com/lecomptedelee/status/1775225523821482420"",""1455221730310561800"",""lecomptedelee""";;;;;;;;;;;
"1775060684352762311,""Tue Apr 02 17:33:32 +0000 2024"",""1"",""@Nulpix__ mercedes lewis hamilton"",""1775214999994298833"","""",""Nulpix__"",""in"","""",""0"",""0"",""0"",""https://twitter.com/eqxcloudy/status/1775214999994298833"",""1571798271517167618"",""eqxcloudy""";;;;;;;;;;;
